UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
203748,2010,R,1175.0,R,4305.0,R,27.0,R,1588.0,R,2.0,R,1586.0,R,903.0,R,57.0,R,671.0,R,0.0,R,671.0,R,413.0,R,62.0,R,24
203757,2010,R,143.0,R,554.0,R,26.0,R,104.0,R,1.0,R,103.0,R,63.0,R,61.0,R,14.0,R,0.0,R,14.0,R,6.0,R,43.0,R,11
203775,2010,R,375.0,R,582.0,R,64.0,R,477.0,R,0.0,R,477.0,R,338.0,R,71.0,R,4.0,R,0.0,R,4.0,R,2.0,R,50.0,R,14
203845,2010,R,385.0,R,445.0,R,87.0,R,385.0,R,0.0,R,385.0,R,298.0,R,77.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,A,,R,13
203881,2010,R,356.0,R,1947.0,R,18.0,R,391.0,R,0.0,R,391.0,R,212.0,R,54.0,R,250.0,R,0.0,R,250.0,R,98.0,R,39.0,R,23
203942,2010,A,,A,,A,,R,104.0,R,0.0,R,104.0,R,82.0,R,79.0,R,74.0,R,0.0,R,74.0,R,72.0,R,97.0,R,15
203960,2010,R,54.0,R,404.0,R,13.0,R,21.0,R,0.0,R,21.0,R,19.0,R,90.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,8
204006,2010,R,944.0,R,1440.0,R,66.0,R,667.0,R,0.0,R,667.0,R,419.0,R,63.0,R,93.0,R,0.0,R,93.0,R,25.0,R,27.0,R,21
204015,2010,R,414.0,R,893.0,R,46.0,R,343.0,R,0.0,R,343.0,R,206.0,R,60.0,R,48.0,R,0.0,R,48.0,R,13.0,R,27.0,R,17
204024,2010,R,3592.0,R,3967.0,R,91.0,R,3235.0,R,0.0,R,3235.0,R,2892.0,R,89.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,17
204060,2010,R,21.0,R,35.0,R,60.0,R,130.0,R,0.0,R,130.0,R,59.0,R,45.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15
204121,2010,A,,A,,A,,R,22.0,R,1.0,R,21.0,R,18.0,R,86.0,R,20.0,R,2.0,R,18.0,R,13.0,R,72.0,R,15
204158,2010,A,,A,,A,,R,225.0,R,0.0,R,225.0,R,200.0,R,89.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,A,,R,5
204176,2010,R,71.0,R,187.0,R,38.0,R,103.0,Z,0.0,R,103.0,R,83.0,R,81.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12
204185,2010,R,630.0,R,692.0,R,91.0,R,578.0,R,0.0,R,578.0,R,430.0,R,74.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14
204194,2010,R,388.0,R,635.0,R,61.0,R,302.0,R,0.0,R,302.0,R,224.0,R,74.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14
204200,2010,R,382.0,R,731.0,R,52.0,R,357.0,R,0.0,R,357.0,R,255.0,R,71.0,R,11.0,R,0.0,R,11.0,R,5.0,R,45.0,R,12
