UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
184968,2020,A,,A,,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,9.0
184995,2020,R,1099.0,R,1947.0,R,56.0,R,1600.0,R,0.0,Z,0.0,R,1600.0,R,907.0,R,57.0,R,420.0,R,0.0,Z,0.0,R,420.0,R,200.0,R,48.0,R,24.0
185129,2020,R,1074.0,R,1758.0,R,61.0,R,1004.0,R,0.0,R,0.0,R,1004.0,R,778.0,R,77.0,R,4.0,R,0.0,R,0.0,R,4.0,R,2.0,R,50.0,R,14.0
185174,2020,A,,A,,A,,R,37.0,Z,0.0,Z,0.0,R,37.0,R,29.0,R,78.0,A,,A,,A,,A,,A,,A,,R,5.0
185262,2020,R,1656.0,R,3254.0,R,51.0,R,1725.0,R,0.0,Z,0.0,R,1725.0,R,1278.0,R,74.0,R,45.0,R,0.0,Z,0.0,R,45.0,R,14.0,R,31.0,R,18.0
185396,2020,A,,A,,A,,R,298.0,R,0.0,R,0.0,R,298.0,R,232.0,R,78.0,R,62.0,R,0.0,R,0.0,R,62.0,R,57.0,R,92.0,R,35.0
185466,2020,A,,A,,A,,R,162.0,R,0.0,Z,0.0,R,162.0,R,147.0,R,91.0,R,88.0,Z,0.0,Z,0.0,R,88.0,R,78.0,R,89.0,R,25.0
185509,2020,R,671.0,R,1943.0,R,35.0,R,853.0,R,0.0,Z,0.0,R,853.0,R,491.0,R,58.0,R,637.0,R,0.0,Z,0.0,R,637.0,R,248.0,R,39.0,R,17.0
185536,2020,R,1647.0,R,3111.0,R,53.0,R,1977.0,R,0.0,Z,0.0,R,1977.0,R,1265.0,R,64.0,R,707.0,R,0.0,Z,0.0,R,707.0,R,318.0,R,45.0,R,21.0
185572,2020,R,921.0,R,1135.0,R,81.0,R,994.0,R,0.0,R,0.0,R,994.0,R,799.0,R,80.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12.0
185590,2020,R,3125.0,R,4588.0,R,68.0,R,3082.0,R,0.0,R,0.0,R,3082.0,R,2552.0,R,83.0,R,19.0,R,0.0,R,0.0,R,19.0,R,12.0,R,63.0,R,18.0
185679,2020,A,,A,,A,,R,3.0,Z,0.0,Z,0.0,R,3.0,R,3.0,R,100.0,R,1.0,Z,0.0,Z,0.0,R,1.0,R,1.0,R,100.0,R,10.0
185721,2020,R,120.0,R,189.0,R,63.0,R,124.0,R,0.0,Z,0.0,R,124.0,R,83.0,R,67.0,R,35.0,R,0.0,Z,0.0,R,35.0,R,24.0,R,69.0,R,15.0
185767,2020,A,,A,,A,,R,3.0,R,0.0,R,0.0,R,3.0,R,2.0,R,67.0,R,6.0,R,0.0,R,0.0,R,6.0,R,5.0,R,83.0,R,24.0
185828,2020,R,1129.0,R,2759.0,R,41.0,R,1299.0,R,4.0,Z,0.0,R,1295.0,R,1153.0,R,89.0,R,44.0,R,0.0,Z,0.0,R,44.0,R,30.0,R,68.0,R,15.0
185873,2020,R,1481.0,R,2806.0,R,53.0,R,1630.0,R,0.0,R,0.0,R,1630.0,R,1118.0,R,69.0,R,389.0,R,0.0,R,0.0,R,389.0,R,158.0,R,41.0,R,18.0
185970,2020,A,,A,,A,,R,18.0,R,0.0,R,0.0,R,18.0,R,16.0,R,89.0,R,3.0,R,0.0,R,0.0,R,3.0,R,1.0,R,33.0,R,12.0
186016,2020,A,,A,,A,,R,29.0,Z,0.0,Z,0.0,R,29.0,R,28.0,R,97.0,R,12.0,Z,0.0,Z,0.0,R,12.0,R,10.0,R,83.0,R,15.0
186034,2020,R,291.0,R,739.0,R,39.0,R,617.0,R,0.0,R,0.0,R,617.0,R,384.0,R,62.0,R,363.0,R,0.0,R,0.0,R,363.0,R,159.0,R,44.0,R,19.0
186052,2020,A,,A,,A,,R,259.0,R,2.0,R,0.0,R,257.0,R,159.0,R,62.0,R,82.0,R,1.0,R,0.0,R,81.0,R,29.0,R,36.0,R,18.0
186131,2020,R,1146.0,R,1220.0,R,94.0,R,1335.0,R,0.0,R,0.0,R,1335.0,R,1112.0,R,83.0,A,,A,,A,,A,,A,,A,,R,4.0
186186,2020,R,60.0,R,137.0,R,44.0,R,46.0,R,0.0,R,0.0,R,46.0,R,33.0,R,72.0,A,,A,,A,,A,,A,,A,,R,14.0
186201,2020,R,995.0,R,1648.0,R,60.0,R,1029.0,R,0.0,R,0.0,R,1029.0,R,879.0,R,85.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,16.0
186274,2020,A,,A,,A,,R,7.0,R,0.0,R,0.0,R,7.0,R,6.0,R,86.0,R,11.0,R,0.0,R,0.0,R,11.0,R,6.0,R,55.0,R,15.0
186283,2020,R,834.0,R,1054.0,R,79.0,R,856.0,R,0.0,R,0.0,R,856.0,R,677.0,R,79.0,R,5.0,R,0.0,R,0.0,R,5.0,R,2.0,R,40.0,R,10.0
186371,2020,R,594.0,R,1411.0,R,42.0,R,746.0,R,0.0,R,0.0,R,746.0,R,637.0,R,85.0,R,3.0,R,0.0,R,0.0,R,3.0,R,1.0,R,33.0,R,15.0
186380,2020,R,6542.0,R,9203.0,R,71.0,R,7077.0,R,0.0,R,0.0,R,7077.0,R,6598.0,R,93.0,R,4.0,R,0.0,R,0.0,R,4.0,R,3.0,R,75.0,R,16.0
186399,2020,R,1314.0,R,2670.0,R,49.0,R,1398.0,R,0.0,R,0.0,R,1398.0,R,1212.0,R,87.0,R,4.0,R,0.0,R,0.0,R,4.0,R,3.0,R,75.0,R,15.0
186405,2020,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,5.0
186423,2020,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,7.0
186432,2020,R,424.0,R,684.0,R,62.0,R,423.0,R,0.0,R,0.0,R,423.0,R,316.0,R,75.0,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,A,,R,13.0
186469,2020,R,172.0,R,385.0,R,45.0,R,229.0,R,0.0,Z,0.0,R,229.0,R,144.0,R,63.0,R,61.0,R,0.0,Z,0.0,R,61.0,R,21.0,R,34.0,R,15.0
186584,2020,R,1334.0,R,1597.0,R,84.0,R,1630.0,R,0.0,R,0.0,R,1630.0,R,1373.0,R,84.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14.0
186593,2020,A,,A,,A,,R,40.0,R,0.0,R,0.0,R,40.0,R,14.0,R,35.0,R,21.0,R,0.0,R,0.0,R,21.0,R,8.0,R,38.0,R,18.0
186618,2020,R,142.0,R,262.0,R,54.0,R,169.0,R,0.0,R,0.0,R,169.0,R,129.0,R,76.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,11.0
186645,2020,R,1035.0,R,1762.0,R,59.0,R,1143.0,R,0.0,Z,0.0,R,1143.0,R,784.0,R,69.0,R,405.0,R,0.0,Z,0.0,R,405.0,R,190.0,R,47.0,R,19.0
186867,2020,R,916.0,R,966.0,R,95.0,R,969.0,R,1.0,R,0.0,R,968.0,R,903.0,R,93.0,A,,A,,A,,A,,A,,A,,R,12.0
186876,2020,R,1409.0,R,2326.0,R,61.0,R,1535.0,R,0.0,R,0.0,R,1535.0,R,1299.0,R,85.0,R,2.0,R,0.0,Z,0.0,R,2.0,R,1.0,R,50.0,R,18.0
186900,2020,R,7.0,R,29.0,R,24.0,R,6.0,R,0.0,R,0.0,R,6.0,R,5.0,R,83.0,A,,A,,A,,A,,A,,A,,R,13.0
187000,2020,A,,A,,A,,R,19.0,Z,0.0,Z,0.0,R,19.0,R,17.0,R,89.0,A,,A,,A,,A,,A,,A,,R,13.0
187046,2020,A,,A,,A,,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,Z,0.0,R,0.0,R,0.0,A,,R,20.0
187134,2020,R,1427.0,R,1757.0,R,81.0,R,1602.0,R,0.0,Z,0.0,R,1602.0,R,1503.0,R,94.0,R,3.0,R,0.0,Z,0.0,R,3.0,R,2.0,R,67.0,R,13.0
187198,2020,R,1245.0,R,2351.0,R,53.0,R,1438.0,R,1.0,Z,0.0,R,1437.0,R,923.0,R,64.0,R,397.0,R,0.0,Z,0.0,R,397.0,R,159.0,R,40.0,R,20.0
187444,2020,R,1251.0,R,1980.0,R,63.0,R,1237.0,R,0.0,Z,0.0,R,1237.0,R,1115.0,R,90.0,R,8.0,R,0.0,Z,0.0,R,8.0,R,5.0,R,63.0,R,13.0
187505,2020,A,,A,,A,,R,248.0,R,3.0,R,0.0,R,245.0,R,118.0,R,48.0,A,,A,,A,,A,,A,,A,,R,24.0
187532,2020,R,1656.0,R,4218.0,R,39.0,R,2219.0,R,1.0,R,0.0,R,2218.0,R,1398.0,R,63.0,R,1716.0,R,0.0,R,0.0,R,1716.0,R,702.0,R,41.0,R,23.0
187596,2020,R,51.0,R,146.0,R,35.0,R,7.0,R,0.0,R,0.0,R,7.0,R,5.0,R,71.0,R,3.0,R,0.0,R,0.0,R,3.0,R,1.0,R,33.0,R,6.0
187620,2020,R,986.0,R,1909.0,R,52.0,R,1088.0,R,0.0,R,0.0,R,1088.0,R,688.0,R,63.0,R,207.0,R,0.0,R,0.0,R,207.0,R,88.0,R,43.0,R,21.0
187639,2020,R,211.0,R,557.0,R,38.0,R,244.0,Z,0.0,Z,0.0,R,244.0,R,149.0,R,61.0,R,144.0,Z,0.0,Z,0.0,R,144.0,R,37.0,R,26.0,R,17.0
187648,2020,R,428.0,R,1485.0,R,29.0,R,550.0,R,0.0,R,0.0,R,550.0,R,336.0,R,61.0,R,8.0,R,0.0,R,0.0,R,8.0,R,4.0,R,50.0,R,17.0
187666,2020,R,255.0,R,460.0,R,55.0,R,299.0,R,0.0,R,0.0,R,299.0,R,132.0,R,44.0,R,69.0,R,0.0,R,0.0,R,69.0,R,25.0,R,36.0,R,18.0
187745,2020,R,26.0,R,239.0,R,11.0,R,57.0,R,0.0,R,0.0,R,57.0,R,25.0,R,44.0,R,13.0,R,0.0,R,0.0,R,13.0,R,5.0,R,38.0,R,9.0
187897,2020,R,187.0,R,550.0,R,34.0,R,275.0,R,0.0,R,0.0,R,275.0,R,175.0,R,64.0,R,3.0,R,0.0,R,0.0,R,3.0,R,1.0,R,33.0,R,13.0
187903,2020,R,323.0,R,530.0,R,61.0,R,309.0,R,0.0,R,0.0,R,309.0,R,152.0,R,49.0,R,353.0,R,0.0,R,0.0,R,353.0,R,112.0,R,32.0,R,15.0
